cntycode,County,total_votes,desantis_votes,gillum_votes
01,Alachua,115147,41282,72663
02,Baker,10542,8688,1760
03,Bay,63296,45694,16738
04,Bradford,10505,7698,2671
05,Brevard,281502,162186,114868
06,Broward,708558,221873,481677
07,Calhoun,4603,3572,921
08,Charlotte,86890,54100,31245
09,Citrus,70891,47725,21194
10,Clay,93461,64395,28135
11,Collier,155528,100359,53613
12,Columbia,24845,17425,7108
13,Miami-Dade,799295,311762,479041
14,DeSoto,8902,5663,3058
15,Dixie,5799,4662,1007
16,Duval,379837,179869,196537
17,Escambia,129303,74692,52800
18,Flagler,52804,30947,21175
19,Franklin,5431,3515,1794
20,Gadsden,20063,6203,13716
21,Gilchrist,7366,5975,1282
22,Glades,3828,2646,1094
23,Gulf,5897,4265,1512
24,Hamilton,4550,2908,1589
25,Hardee,6395,4485,1800
26,Hendry,8868,5175,3514
27,Hernando,80600,49663,29420
28,Highlands,39752,26283,12780
29,Hillsborough,522642,234775,281446
30,Holmes,6769,5936,737
31,Indian River,74244,44922,28455
32,Jackson,15975,10771,5017
33,Jefferson,7360,3877,3376
34,Lafayette,2824,2363,419
35,Lake,155056,92598,60247
36,Lee,289562,174074,111174
37,Leon,139979,49939,88720
38,Levy,17088,12084,4717
39,Liberty,2680,2059,526
40,Madison,7625,4345,3235
41,Manatee,163246,93207,67575
42,Marion,154827,94894,57371
43,Martin,77747,47843,29134
44,Monroe,36109,18502,17162
45,Nassau,43552,31698,11465
46,Okaloosa,83841,59922,22386
47,Okeechobee,11235,7728,3304
48,Orange,475581,174203,296147
49,Osceola,115029,44630,68712
50,Palm Beach,586455,240950,341211
51,Pasco,210921,120750,86372
52,Pinellas,435171,207643,220740
53,Polk,244405,136717,104045
54,Putnam,28119,18720,9007
55,St. Johns,130967,83650,46185
56,St. Lucie,124019,58989,63588
57,Santa Rosa,75539,56139,18191
58,Sarasota,210959,113244,94968
59,Seminole,199192,96617,100183
60,Sumter,74383,51795,21833
61,Suwannee,15940,12262,3456
62,Taylor,7941,5942,1877
63,Union,4868,3841,972
64,Volusia,228723,124802,100460
65,Wakulla,14214,9799,4191
66,Walton,30324,22923,7014
67,Washington,9047,7016,1865
